OBJECTID,MapUnit,Name,FullName,Age,Description,HierarchyKey,ParagraphStyle,Label,Symbol,AreaFillRGB,AreaFillPatternDescription,DescriptionSourceID,GeoMaterial,GeoMaterialConfidence,DescriptionOfMapUnits_ID
"2",,SURFICIAL DEPOSITS,,,,"01",DMU Heading2,,,,,,,,DMU1
"3",af,"Artificial fill, undifferentiated","Artificial fill, undifferentiated",Historic,"Unconsolidated human-made deposits, predominantly consisting of piles of mining tailings of various ages in central part of map area",01-01,DMU Unit 1,af,"1","179,204,222",,DAS1,"""Made"" or human-engineered land",High,DMU2
"4",Qal,Alluvium,Alluvium,Holocene to late Pleistocene,"Sand, silt, and gravel deposited by water in active stream channels, terraces, or valleys",01-03,DMU Unit 1,Qal,"3","255,255,153",,DAS1,Alluvial sediment,High,DMU4
"5",Qc,Colluvium,Colluvium,Holocene to late Pleistocene,"Angular gravel, cobbles, boulders, sand, and lesser silts deposited by transport of loose, unconsolidated material down hillslope",01-04,DMU Unit 1,Qc,"4","255,235,128",,DAS1,Colluvium and other widespread mass-movement sediment,High,DMU5
"6",Qt,Fluvial terrace deposits,Fluvial terrace deposits,Holocene to Pleistocene,"Well-rounded boulders, cobbles, and gravels along abandoned river terraces. Defined by geomorphic expression of planar surfaces or sets of surfaces and mapped using 1-meter (m)-resolution lidar. Internal contacts delineate individual terraces",01-05,DMU Unit 1,Qt,"5","235,235,153",,DAS1,Alluvial sediment,High,DMU6
"7",Qpc,Paleochannel deposits,Paleochannel deposits,Holocene to Pleistocene,"Sand, silt, and gravel deposits in abandoned stream channels. Identified on the basis of their geomorphic expression and incision into planar terraces. Mapped using lidar",01-06,DMU Unit 1,Qpc,"6","235,179,000",,DAS1,Alluvial sediment,High,DMU7
"8",Qls,Landslide deposits,Landslide deposits,Holocene to Pleistocene,"Chaotic deposits of sand, silt, clay, angular boulders, and large bedrock blocks deposited by gravity-driven sliding and flow of material. Easily identified using lidar; primarily mapped on the basis of geomorphic expression. Arrows show direction of downslope movement. Internal contacts delineate individual landslides nested within larger landslides",01-02,DMU Unit 1,Qls,"2","255,255,222",,DAS1,"Debris flows, landslides, and other localized mass-movement sediment",High,DMU3
"9",Qoal,Older alluvium,Older alluvium,late to early-Pleistocene,"Sand, silt, and gravel in older alluvial deposits. Defined by relative age relations, lack of primary geomorphic expression, and highly dissected surfaces",01-07,DMU Unit 1,Qoal,"7","235,235,179",,DAS1,Alluvial sediment,High,DMU8
"10",,SPRING DEPOSITS,,,,"02",DMU Heading2,,,,,,,,DMU9
"11",Qs,Travertine deposits,Travertine deposits,late-Pleistocene to modern,White travertine deposits associated with springs near McLaughlin mine in central part of map area. Large siliceous sinter deposits were removed during excavation of McLaughlin gold deposit and are not mapped,02-01,DMU Unit 1,Qs,"8","255,000,102",,DAS1,Carbonate rock,High,DMU10
"12",sc,Silica-carbonate,Silica-carbonate,early-Pleistocene,"Red to yellow to orange to white to black alteration zones of quartz, vitrified quartz, carbonate, magnesite, opal, chalcedony, pyrite, and lesser cinnabar. Formed during hydrothermal alteration of serpentinite; contains remnant serpentinite pieces. Rocks are intimately associated with gold and mercury deposits; exposures located near McLaughlin mine in central part of map area",02-02,DMU Unit 1,sc,"9","255,077,102",,DAS1,Mostly carbonate rock,High,DMU11
"13",,CLEAR LAKE VOLCANICS,,,,"03",DMU Heading2,,,,,,,,DMU12
"14",Qlv,Lava flows,Lava flows,early- to late-Pleistocene,"Light-gray to black, porphyritic lava flows that range from olivine basalt to quartz-bearing dacite. Lavas typically fine grained, containing 5–10 percent phenocrysts as large as about 0.5 centimeters (cm) in diameter. Flows are resistant to erosion and form ridge tops and buttes. Most extensive exposures found along southwestern margin of map area and reach thicknesses of about 20 m. Whole-rock potassium-argon age of 2.2±0.2 mega-annum (Ma) on basaltic andesite (Lehman, 1986). Intercalated with units Qwt, Qpf, and Qva in different locations",03-01-01,DMU Unit 2,Qlv,"10","235,204,255",,DAS1,Lava flows,High,DMU14
"15",Qwt,Welded tuff,Welded tuff,early- to late-Pleistocene,Light-gray to buff welded tuff that contains dark-gray fiamme as long as 5–10 cm and phenocrysts of plagioclase as large as 1 cm in diameter. Exposed in southwestern part of map area on ridge between Pope Creek and Putah Creek arm of Lake Berryessa. Intercalated with lava flows of unit Qlv,03-01-02,DMU Unit 2,Qwt,"11","204,102,255",,DAS1,Pyroclastic flows,High,DMU15
"16",Qpf,Pumice-fall deposits,Pumice-fall deposits,early- to late-Pleistocene,White to pink to red pumice-fall deposits. Pumice clasts reach 5 cm in diameter and show variable clay alteration. Exposed on southeast side of hill south of McLaughlin open-pit mine. Stratigraphically overlain by lava flows of unit Qlv,03-01-03,DMU Unit 2,Qpf,"12","222,077,222",,DAS1,Air-fall tephra,High,DMU16
"17",Qva,Altered volcanic rocks,Altered volcanic rocks,early Pleistocene,"Light-tan to buff lava flows, dikes, and sills. Shows strong propylitic and argillic alteration (Tosdal and others, 1993) that is related to hydrothermal activity associated with McLaughlin mine ore body. Exposed near McLaughlin open-pit mine. Stratigraphically below ridge-capping lava flows of unit Qlv",03-01-04,DMU Unit 2,Qva,"13","222,153,235",,DAS1,Extrusive igneous material,High,DMU17
"19",,Cache Formation,,,,"04",DMU Heading2,,,,,,,,DMU18
"20",QTc,Cache Formation,Cache Formation,upper Pliocene and Pleistocene,"Gray to light-gray, well-rounded fluvial gravels and lesser siltstone, sandstone, mudstone, and tuff. Gravel beds as thick as several meters have rare crossbedding and lenses of fine silts and sands. Clasts composed of metagraywacke, chert, vein quartz, schist, greenstone, and sandstone (Rymer, 1981). Lacustrine deposits locally contain plant and freshwater-fish fossils, ostracodes, pollen, and tephra layers (Rymer, 1981; Sims and others, 1981). Unit overlain by basalts (1.45 Ma); also contains obsidian pebbles derived from the Pliocene Sonoma Volcanics (4.5 Ma) (McLaughlin and others, 2018). Unit exposed in northwest corner of map area along Cache Creek; also includes fluvially reworked pumice deposits along Lake Berryessa (see Fox and others, 1973)",04-01,DMU Unit 1,QTc,"14","255,222,179",,DAS1,Clastic sediment,High,DMU19
"21",,GREAT VALLEY COMPLEX,,,,"05",DMU Heading2,,,,,,,,DMU20
"22",,GREAT VALLEY SEQUENCE,,,,05-01,DMU Heading3,,,,,,,,DMU21
"24",Kv,Venado Formation,Venado Formation,Late Cretaceous,"Thick-bedded to massive, fine- to coarse-grained quartz-biotite-lithic wacke and lesser mudstone, siltstone, and conglomerate; well indurated and ridge forming. Located in eastern part of map area along crest of Blue Ridge (see, for example, Graymer and others, 2002). Mudstones contain foraminifers of Late Cretaceous (Turonian) age (Goudkoff, 1945; Emerson and Roberts, 1962; Lachenbruch, 1962; Graymer and others, 2007)",05-01-01,DMU Unit 1,Kv,"15","204,255,153",,DAS1,"Marine sediment, mostly coarse-grained",High,DMU22
"25",KJgvl,Lower part of the Great Valley sequence,Lower part of the Great Valley sequence,Late Jurassic to Early Cretaceous,"Predominantly thin-bedded turbidite, dark-brown to grayish-brown shale, and tan, fine- to coarse-grained sandstone. Sandstone beds and channels are as thick as 1–2 m and are resistant to erosion, 
forming high ridges. Locally contains conglomerate layers traceable for several kilometers, 
carbonate lenses, and sandstone dikes. Unit is locally overturned adjacent to faults; up-direction 
indicators consist of Bouma sequences, ripple marks, flame structures, and load casts. Ridge-in-groove slickenlines along bedding surfaces suggest considerable bedding-parallel slip, although slip is difficult to map owing to lack of reliable offset markers. Our structural observations support work by Graymer and others (2007), who said many unrecognized faults likely exist and disrupt original stratigraphic sequence; tectonic mixing may be responsible for presence of Early Cretaceous and Late Jurassic Buchia spp. fossils in this unit (Weaver, 1949). Detrital zircon uranium-lead (U-Pb) ages between 133 and 144 Ma have been reported (McLaughlin and others, 2016; Orme and Surpless, 2019). Subdivided into the following:",05-01-02,DMU Unit 1,KJgvl,"16","222,255,222",,DAS1,"Marine sediment, mostly fine-grained",High,DMU23
"26",KJssp,Sedimentary serpentinite,Sedimentary serpentinite,Late Jurassic to Early Cretaceous,"Teal-green to light-blue, coarse-grained serpentinite sand and detritus; angular fragments of serpentinite and ophiolitic debris as large as boulders. Outcrop patterns in map view form tabular to rounded bodies that appear to be concentrated in antiformal hinges and adjacent to faults, where rocks are highly sheared. North of map area, near Wilbur Springs, unit contains Early Cretaceous fossils (Carlson, 1984)",05-01-02-01,DMU Unit 2,KJssp,"17","204,179,235",,DAS1,Clastic sediment,High,DMU24
"27",Jk,Knoxville Formation,Knoxville Formation,Late Jurassic,"Dark-brown to dark-gray, thin-bedded turbidites that contain tan, fine- to medium-grained sandstone layers. Contains laterally discontinuous basalconglomerate lenses as thick as several meters. Locally overturned near faults. Unit is limited to rocks that contain Jurassic fossils and have Jurassic detrital-zircon ages; however, considerable faulting and deformation may have mixed Cretaceous and Jurassic rocks. Some structural complexities are too small to map, but other limiting factors are poor exposures and lack of dateable material to differentiate identical rocks that have different Cretaceous or Jurassic ages. Lower contact appears faulted everywhere, but timing of faulting unknown. Detrital zircon (U-Pb) ages are between 142 and 149 Ma (Orme and Surpless, 2019, supporting work of 
McLaughlin and others, 2016)",05-01-02-02,DMU Unit 2,Jk,"18","204,235,179",,DAS1,"Marine sediment, mostly fine-grained",High,DMU25
