OBJECTID,Type,IsConcealed,LocationConfidenceMeters,ExistenceConfidence,IdentityConfidence,Symbol,Label,DataSourceID,Notes,ContactsAndFaults_ID,Shape_Length
"1",contact,N,"5",certain,certain,01.01.01,,DAS1,Aerial Photo,CAF0001,"953.2627697717322"
"2",contact,N,"5",certain,certain,01.01.01,,DAS1,Aerial Photo,CAF0002,"2181.618368185179"
"3",contact,N,"5",certain,certain,01.01.01,,DAS1,Aerial Photo,CAF0003,"1246.547962764528"
"4",contact,N,"5",certain,certain,01.01.01,,DAS1,Aerial Photo,CAF0004,"691.3018659674996"
"5",fault,N,"5",certain,certain,02.01.03,,DAS1,Aerial Photo,CAF0005,"414.9225241153478"
"6",fault,N,"5",certain,certain,02.01.01,,DAS1,Aerial Photo,CAF0006,"5493.508020768674"
"7",contact,N,"5",certain,certain,01.01.01,,DAS1,Field,CAF0007,"800.1988688275547"
"8",fault,N,"5",certain,certain,02.01.01,,DAS1,Aerial Photo,CAF0008,"142.1084054633887"
"9",fault,N,"5",certain,certain,02.01.01,,DAS1,Aerial Photo,CAF0009,"147.7617867177573"
"10",contact,N,"5",certain,certain,01.01.01,,DAS1,Lidar,CAF0010,"2128.910335213763"
"11",fault,N,"5",certain,certain,02.01.01,,DAS1,Aerial Photo,CAF0011,"530.9717264239514"
"12",contact,N,"5",certain,certain,01.01.01,,DAS1,Lidar,CAF0012,"6888.16634541008"
"13",fault,Y,"5",questionable,questionable,02.01.07,,DAS1,Aerial Photo,CAF0013,"306.2024575994059"
"14",fault,N,"5",certain,certain,02.01.01,,DAS1,Aerial Photo,CAF0014,"190.8569363358357"
"15",fault,N,"5",certain,certain,02.01.01,,DAS1,Aerial Photo,CAF0015,"613.9843268809743"
"16",contact,N,"5",certain,certain,01.01.01,,DAS1,Lidar,CAF0016,"147.3335295841862"
"17",fault,N,"5",certain,certain,02.01.01,,DAS1,Aerial Photo,CAF0017,"754.1780959118255"
"18",fault,N,"5",certain,certain,02.01.01,,DAS1,Lidar,CAF0018,"400.5284288700595"
"19",contact,N,"5",certain,certain,01.01.01,,DAS1,Lidar,CAF0019,"704.39679376434"
"20",contact,N,"5",certain,certain,01.01.01,,DAS1,Lidar,CAF0020,"1211.629256375064"
"21",fault,N,"5",certain,certain,02.01.01,,DAS1,Aerial Photo,CAF0021,"827.8520611182619"
"22",fault,N,"5",certain,certain,02.01.01,,DAS1,Aerial Photo,CAF0022,"412.3184098111882"
"23",fault,N,"5",certain,certain,02.01.01,,DAS1,Aerial Photo,CAF0023,"318.4249403418724"
"24",contact,N,"5",certain,certain,01.01.01,,DAS1,Aerial Photo,CAF0024,"920.5004458485096"
"25",contact,N,"5",certain,certain,01.01.01,,DAS1,Aerial Photo,CAF0025,"1024.241827028672"
"26",contact,N,"5",certain,certain,01.01.01,,DAS1,Aerial Photo,CAF0026,"15029.97482473747"
"27",fault,N,"5",certain,certain,02.01.01,,DAS1,Field,CAF0027,"2373.945511755383"
